AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|N|LOS RIOS|BUENA FE|185567,1700|22732,6200|0,0000|0,0000|0,0000|75142,9500|20156,6700|0,0000|0,0000|100023,9800|208299,7900
2025|1|I|ESMERALDAS|ATACAMES|468002,4500|336458,2700|56790,6800|0,0000|6628,5000|314850,6300|257986,4600|0,0000|14211,1700|591395,4300|867879,9000
2025|1|B|ZAMORA CHINCHIPE|PAQUISHA|9515,4400|289002,1100|0,0000|0,0000|0,0000|365549,3300|29146,6700|295,0000|4906,7000|400420,6800|298517,5500
2025|1|R|IMBABURA|ANTONIO ANTE|39922,6500|23506,5000|398,8200|0,0000|0,0000|31662,9000|22345,2100|0,0000|2230,0000|56238,1100|63827,9700
2025|1|N|ESMERALDAS|RIO VERDE|31193,5800|48242,9200|0,0000|0,0000|0,0000|9036,2900|276,7500|0,0000|750,0000|10300,1900|79436,5000
2025|1|C|LOJA|CATAMAYO|208028,2400|1426119,8600|0,0000|10404,7200|0,0000|399191,4000|292895,1700|6230,5700|18088,0600|727271,1900|1644552,8200
2025|1|J|MANABI|CHONE|41532,3000|18320,7500|0,0000|0,0000|0,0000|46874,1900|27125,1500|0,0000|3000,0000|77254,4800|59853,0500
2025|1|H|CARCHI|TULCAN|858270,8800|6027661,7300|0,0000|65698,8700|0,0000|1479428,8200|4129824,2200|530,7400|48839,3200|5728839,6200|6951631,4800
2025|1|S|IMBABURA|COTACACHI|60863,7500|23028,0800|0,0000|0,0000|8325,0000|94401,5300|18833,8100|0,0000|1769,0000|116342,1500|92216,8300
2025|1|A|LOJA|LOJA|56891,0700|1103798,2100|215,7400|0,0000|34698,0000|183266,4400|867954,1200|0,0000|2911,9600|1063157,4300|1195603,0200
2025|1|S|MORONA SANTIAGO|GUALAQUIZA|69897,5700|15380,7400|0,0000|0,0000|8838,0800|55065,1700|13407,8500|0,0000|6290,8500|74793,1100|94116,3900
2025|1|H|AZUAY|CUENCA|2303844,7900|12343040,7900|4273,0200|17666,8100|70133,8600|4138467,3700|6753689,7700|24108,8600|208105,7600|11149082,7400|14738959,2700
2025|1|Q|PASTAZA|ARAJUNO|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2025|1|O|GUAYAS|SALITRE|493,5900|0,0000|0,0000|0,0000|0,0000|67172,3500|22284,9600|0,0000|5211,5000|94668,8100|493,5900
2025|1|F|CAÑAR|AZOGUES|469209,0300|56909,1000|0,0000|2736,0400|0,0000|341645,6100|59185,6000|0,0000|329,6500|458187,8000|528854,1700
2025|1|I|EL ORO|PIÑAS|114507,8700|6292,3700|0,0000|0,0000|0,0000|57616,1600|37674,3900|0,0000|4640,1200|101000,4300|120800,2400
2025|1|H|SUCUMBIOS|CASCALES|10875,6000|19825,7100|0,0000|0,0000|0,0000|54865,0600|4123,6800|0,0000|241,0000|59572,5100|30701,3100
2025|1|A|MANABI|EL CARMEN|226449,8400|7466908,2100|0,0000|7112,9800|156195,0500|599845,4300|3631226,2500|11441,0100|213965,8800|4462292,2500|7856666,0800
2025|1|M|CAÑAR|CAÑAR|620184,7500|49203,9500|0,0000|4447,4600|543,5300|300207,4600|56713,3800|0,0000|2498,7600|447259,2100|674379,6900
2025|1|M|SANTO DOMINGO DE LOS TSACHILAS|LA CONCORDIA|366183,0700|176772,3400|0,0000|0,0000|0,0000|246111,0700|101074,0500|0,0000|3312,8900|354569,1000|542955,4100
2025|1|M|COTOPAXI|SALCEDO|284397,5700|64016,5500|0,0000|19236,0100|0,0000|229566,5900|52946,9300|0,0000|2477,0400|301936,7300|367650,1300
2025|1|G|MANABI|JAMA|545149,7000|183740,3300|0,0000|0,0000|0,0000|620502,0100|157587,4000|322,7600|20931,9500|799482,2000|728890,0300
2025|1|F|AZUAY|GUACHAPALA|8033,2600|0,0100|0,0000|0,0000|0,0000|24612,4500|218,3200|0,0000|0,0000|25922,5700|8033,2700
2025|1|H|TUNGURAHUA|TISALEO|23559,6600|395644,6500|0,0000|52703,4400|0,0000|71908,6800|204609,5900|91,0000|7934,3000|342777,9100|471907,7500
2025|1|M|MANABI|EL CARMEN|479584,6500|337683,5600|0,0000|1,0000|0,0000|397193,8900|144772,4500|9781,3400|28281,2600|586685,6700|817269,2100
2025|1|A|COTOPAXI|SAQUISILI|21976,0000|292693,9800|0,0000|3333,3300|0,0000|54562,2000|170203,4700|0,0000|6016,1000|230781,7700|318003,3100
2025|1|Q|CHIMBORAZO|GUANO|704,1200|5665,3500|0,0000|0,0000|0,0000|3743,6300|6037,5600|0,0000|0,0000|9902,1400|6369,4700
2025|1|L|ORELLANA|ORELLANA|367350,1800|174596,2800|0,0000|28498,7200|0,0000|581115,1300|82380,8700|3285,8700|10449,6500|689272,2000|570445,1800
2025|1|H|SUCUMBIOS|GONZALO PIZARRO|939,4600|214837,0800|0,0000|0,0000|0,0000|50377,3500|140905,3100|0,0000|2049,0000|193331,6600|215776,5400
2025|1|F|COTOPAXI|PUJILI|30832,2200|14681,0100|0,0000|4900,0000|0,0000|112266,2500|31311,4900|0,0000|539,1000|151790,5800|50413,2300
2025|1|I|SANTA ELENA|SALINAS|820735,4900|271777,6500|140977,9500|0,0000|0,0000|634982,1000|208946,0300|6314,8900|28857,4500|930462,0400|1233491,0900
2025|1|K|ZAMORA CHINCHIPE|ZAMORA|11853,9200|563,3600|0,0000|0,0000|0,0000|108349,8300|13101,7600|0,0000|7539,4500|128991,0400|12417,2800
2025|1|D|SANTA ELENA|SANTA ELENA|38307,5800|0,0000|0,0000|0,0000|0,0000|37206,0000|5510,3900|0,0000|0,0000|42772,3800|38307,5800
2025|1|A|AZUAY|CUENCA|554976,9500|3469298,1600|0,0000|0,0000|615067,5700|841328,3800|2613957,9900|0,0100|48718,0000|3513582,8000|4639342,6800
2025|1|R|GUAYAS|NARANJITO|9800,0000|0,0000|0,0000|0,0000|0,0000|1980,0000|0,0000|0,0000|0,0000|1980,0000|9800,0000
2025|1|O|IMBABURA|OTAVALO|70476,9700|198412,3100|0,0000|1730,0500|0,0000|73361,5800|56871,4300|0,0000|18417,6300|150807,9700|270619,3300
2025|1|R|EL ORO|MACHALA|838483,8300|18746,2500|0,0000|0,0000|0,0000|625781,0200|189716,1200|0,0000|29574,1300|846363,1000|857230,0800
